"","Angola","Burundi","Kenya","Rwanda","Zambia","Zimbabwe","CAR","Sudan","SouthSudan","Uganda","Bas_Uele","Equateur","Haut_Katanga","Haut_Lomami","Haut_Uele","Ituri","Kasai","Kasai_Central","Kasai_Oriental","Kinshasa","Kongo_Central","Kwango","Kwilu","Lomami","Lualaba","Mai_Ndombe","Maniema","Mongala","Nord_Kivu","Nord_Ubangi","Sankuru","Sud_Kivu","Sud_Ubangi","Tanganyika","Tshopo","Tshuapa"
"Angola",0,0,0,0,1.25845574080157e-259,2.58367339311566e-284,0,0,0,0,0,3.35767897291133e-304,7.58170784854017e-219,4.68672864524659e-195,0,0,7.08985216719645e-196,4.36467240068345e-189,9.77699284996166e-160,6.32380082066451e-212,9.67798001357042e-194,1.70478394413622e-118,5.78345824492909e-180,6.15000055368637e-216,1.06162256779298e-156,5.3124618162081e-241,8.84621079625728e-190,1.48329664584925e-265,1.07880737388935e-221,7.17647192885502e-293,1.35153289117327e-151,1.37773301583559e-230,1.02212437000002e-266,1.0679710413398e-255,7.67218866238571e-209,1.00324876734115e-227
"Burundi",0,0,7.76016669334568e-162,1.29368756165086e-29,3.03247209373495e-234,6.63537473560995e-288,9.81211491279678e-263,0,1.85301733622245e-198,2.24634682228077e-89,2.76926969192359e-166,2.60743426991828e-247,1.96100664081236e-140,7.65708429172269e-131,2.33739446454613e-149,2.71942729574532e-117,1.56860780864676e-189,2.68333325691459e-170,5.4683647558593e-116,0,0,1.60078137744553e-218,3.67804691042423e-236,7.0959509680893e-123,1.49625122867003e-181,3.28014503911821e-251,7.13236466919539e-49,4.50784029180453e-159,5.44835446902307e-40,3.02222621017147e-180,6.56404478866036e-81,1.51254569714963e-27,2.31141433366581e-189,2.67646782242593e-71,6.97784702356381e-78,2.9559618798053e-141
"Kenya",0,7.76016669334568e-162,0,2.31202097878625e-138,0,0,3.05797700709104e-296,1.5029292857537e-276,1.21817151367785e-158,7.30297597440932e-79,1.95929382070819e-215,0,1.23531658298358e-235,6.59568441791003e-251,3.49384612398635e-177,5.79110220446994e-161,0,2.008399448587e-301,1.33186665209221e-219,0,0,0,0,6.70853256047772e-255,2.0351220106376e-299,0,2.8189478043816e-134,3.28564890597631e-218,7.09181365679689e-97,2.21245688725609e-226,1.20589289698921e-156,1.4455980724261e-128,9.76527213766382e-240,1.41057420816997e-191,9.89853231403655e-134,9.56770072805021e-222
"Rwanda",0,1.29368756165086e-29,2.31202097878625e-138,0,1.7350141924541e-240,2.62195091025073e-284,8.78248747242225e-223,0,9.31505172087138e-158,4.81868310710769e-64,1.42107516765958e-132,7.05231893330803e-219,2.90944400435377e-150,2.91421340833704e-138,3.74463241126647e-110,2.01877106399558e-79,1.2589590888061e-179,6.07608894767398e-167,9.15400944357616e-116,1.80770683994629e-300,0,7.82483023648664e-206,3.16349763047823e-220,1.67152600342495e-126,6.32059321055749e-185,2.93790443807045e-229,5.51157986743723e-47,9.14367106311292e-136,3.37391968369199e-24,4.85232747203611e-153,3.53495681092759e-76,5.49760231667727e-31,7.87835865255754e-164,1.8558961627648e-86,4.945791963111e-63,1.99388042024124e-124
"Zambia",1.25845574080157e-259,3.03247209373495e-234,0,1.7350141924541e-240,0,2.25646015514137e-116,0,0,0,4.31652354906025e-269,0,0,5.52904480917254e-62,1.97940372902193e-120,0,0,9.20452022772108e-242,9.91734566447663e-203,2.13341314248847e-148,0,0,4.49282045924817e-225,2.77583388226017e-276,1.75291791097871e-171,1.92337018351959e-116,0,1.02726316586048e-146,1.02384742061465e-278,9.23718089842026e-167,2.6390316403953e-307,6.07990943146269e-144,2.00988433332044e-159,3.00214513818109e-298,1.34116805401578e-139,1.50697682885977e-186,3.14589663233644e-243
"Zimbabwe",2.58367339311566e-284,6.63537473560995e-288,0,2.62195091025073e-284,2.25646015514137e-116,0,0,0,0,4.0190582959885e-289,0,0,9.32214214300651e-143,8.49824263067626e-196,0,0,1.9196115380655e-298,1.06906558560574e-268,4.37257227472308e-202,0,0,2.32328467519966e-259,0,1.51572850142679e-241,1.56005602059449e-191,0,5.05711956575761e-184,5.0016279945215e-305,5.67777604549889e-193,0,3.18391640905918e-179,3.40667195342861e-199,0,6.28550131604891e-204,4.35573664393077e-213,1.50241009107597e-278
"CAR",0,9.81211491279678e-263,3.05797700709104e-296,8.78248747242225e-223,0,0,0,4.8624907558746e-225,1.96224780274449e-163,8.53174861222035e-193,4.32205205745415e-98,1.10866831746681e-126,0,2.27371319013898e-273,2.72031494511493e-169,1.48279132977909e-205,6.39899461469121e-219,1.0604814138496e-247,2.74796751353071e-193,1.50203795702328e-248,4.00823819642038e-265,1.60539078386797e-209,4.358041257178e-215,2.59058002291287e-246,1.03461880713714e-306,7.20849398389188e-188,1.0577537843946e-134,9.92073500925733e-68,1.61982102973967e-120,2.52618731250437e-42,3.07151214267093e-119,2.62977098964264e-164,3.87782955065151e-53,5.1525475650057e-257,6.40553973377264e-88,2.67139367228628e-109
"Sudan",0,0,1.5029292857537e-276,0,0,0,4.8624907558746e-225,0,1.62903352422936e-144,2.39355267697464e-218,2.85182475139607e-229,0,0,0,8.97265064680093e-244,4.80879992834013e-283,0,0,0,0,0,0,0,0,0,0,2.90109133570731e-225,4.35875713681365e-226,4.80552958024763e-180,2.97239601933993e-208,1.45569508808483e-225,9.21386013698947e-249,3.95228657308329e-224,0,1.26072963734019e-178,2.16632965859615e-266
"SouthSudan",0,1.85301733622245e-198,1.21817151367785e-158,9.31505172087138e-158,0,0,1.96224780274449e-163,1.62903352422936e-144,0,1.46997725969843e-92,2.1336933667205e-108,3.04020143918229e-247,2.69759620958792e-290,5.9438292073077e-275,1.49077530662636e-82,2.53402879201794e-110,2.46260298158422e-279,1.81609011903692e-287,2.62849486327285e-214,0,0,5.02016395631366e-281,2.54406348881947e-301,3.76713396324581e-258,0,1.67632341371077e-293,2.93497751646811e-127,2.3916731291133e-140,4.12160866937122e-87,6.81494031210918e-135,5.74125906578371e-138,1.55542068009374e-136,2.34179259108486e-155,1.13527029634225e-228,2.20748980519584e-93,2.83849059189249e-165
"Uganda",0,2.24634682228077e-89,7.30297597440932e-79,4.81868310710769e-64,4.31652354906025e-269,4.0190582959885e-289,8.53174861222035e-193,2.39355267697464e-218,1.46997725969843e-92,0,4.65698249137276e-116,8.24710221809008e-223,5.65245768897817e-183,1.43122784230679e-178,2.98922064122633e-74,2.82671087017091e-53,2.46464722896819e-210,1.06436859941435e-204,9.73647287204272e-148,0,0,6.1504325220902e-223,6.04667098660647e-241,4.12574326908458e-170,6.64684490117554e-221,6.05558356218601e-245,2.40324192062098e-77,5.94834768399755e-134,3.90030414327284e-42,8.75960351098951e-142,4.5750106677831e-98,1.90800637809215e-71,1.18956851495181e-155,4.0358506250303e-131,1.02650363606473e-71,3.9751149853357e-137
