"","Angola","Burundi","Kenya","Rwanda","Zambia","Zimbabwe","CAR","Sudan","SouthSudan","Uganda","Bas_Uele","Equateur","Haut_Katanga","Haut_Lomami","Haut_Uele","Ituri","Kasai","Kasai_Central","Kasai_Oriental","Kinshasa","Kongo_Central","Kwango","Kwilu","Lomami","Lualaba","Mai_Ndombe","Maniema","Mongala","Nord_Kivu","Nord_Ubangi","Sankuru","Sud_Kivu","Sud_Ubangi","Tanganyika","Tshopo","Tshuapa"
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,2.99487268811502e-296,4.60392531373749e-264,0,0,1.6583156238998e-265,2.72155032573587e-256,2.1841098658695e-215,8.03947857554691e-288,8.57170792666533e-263,1.40232666929065e-159,9.18712857442693e-244,1.094345893641e-292,5.23127403466492e-212,0,2.10461999641483e-254,0,3.37099015136148e-297,0,1.33921320218458e-202,0,0,0,6.34583961827601e-280,8.97239175332768e-307
"Burundi",0,0,3.86891126341202e-218,8.56211154937921e-39,0,0,0,0,6.35446740615764e-268,1.17687102321248e-119,1.92065609985819e-224,0,3.24108882683732e-189,2.60181277897196e-176,8.87606104022793e-202,3.03251174761021e-158,2.36158762206183e-256,3.15821540250365e-230,1.05965414183759e-155,0,0,6.44998061566823e-295,0,1.33650173370313e-165,2.24639866928555e-245,0,9.7682398210206e-64,4.41962440315853e-213,1.09084828534893e-51,9.96776775578702e-242,6.94329187011124e-107,5.21549036925204e-35,5.99918839186726e-254,1.54163904623258e-94,8.53327374342336e-103,4.61397162858813e-189
"Kenya",0,3.86891126341202e-218,0,5.25782039256042e-186,0,0,0,0,2.68104909206725e-213,3.93443853060464e-105,2.07051470551454e-290,0,0,0,5.5335915819234e-239,4.15402883832207e-217,0,0,2.99884310062183e-295,0,0,0,0,0,0,0,1.64707508562249e-178,2.50745491204864e-292,5.08091516886809e-128,2.4314630280215e-303,1.92474314379679e-208,4.10483015043842e-171,0,4.04007069511362e-257,1.29544229382823e-177,2.96124066124289e-297
"Rwanda",0,8.56211154937921e-39,5.25782039256042e-186,0,0,0,1.21199032889146e-300,0,2.34662315864864e-212,3.27961817866036e-85,2.22947419380208e-178,7.33076531198013e-296,3.00905884993879e-202,4.18401679666913e-186,3.29119732225759e-148,1.5943102559048e-106,1.65342839039541e-242,2.57073836687604e-225,3.67748558215566e-155,0,0,2.78803903868459e-277,1.42215804444286e-297,2.85119409052237e-170,1.40868831547486e-249,0,4.24684698946722e-61,2.96006226842699e-181,2.32483469405786e-30,1.36685669256146e-204,2.35915835830072e-100,1.33046742329132e-39,4.53845825272674e-219,6.06352429016148e-115,1.19790988492397e-82,5.12224116762242e-166
"Zambia",0,0,0,0,0,1.22222010972189e-156,0,0,0,0,0,0,8.71050914178799e-83,2.62104160092684e-162,0,0,0,1.37394326402472e-274,8.86657175951245e-200,0,0,4.53429298483767e-304,0,7.0032816405856e-232,5.34132910310334e-157,0,5.92109638675474e-196,0,9.20355589664006e-223,0,4.74354743351267e-192,1.75751234156535e-213,0,2.00504093007681e-187,1.56224330019034e-249,0
"Zimbabwe",0,0,0,0,1.22222010972189e-156,0,0,0,0,0,0,0,6.69229803659897e-192,6.65770859117875e-264,0,0,0,0,1.15003362956833e-271,0,0,0,0,0,2.59789320353324e-258,0,1.56452521478884e-245,0,2.87022684420817e-257,0,7.13801302138095e-239,2.07871965120758e-266,0,6.3963685401454e-274,2.1198758335932e-284,0
"CAR",0,0,0,1.21199032889146e-300,0,0,0,1.45155948932507e-303,5.45201692418199e-220,2.7179244526518e-259,1.41549392169692e-131,1.37244463849692e-170,0,0,1.72888951594865e-228,6.56726835837547e-278,8.59460730615632e-296,0,6.06496602829216e-260,0,0,3.36423000772583e-282,1.61327302339027e-290,0,0,8.40181485856906e-254,3.00507726242997e-179,2.77570302030145e-89,6.01844315865818e-160,5.92761536720938e-55,2.74793408554869e-158,1.6811408009572e-219,1.56397825456641e-69,0,4.01734390590804e-116,1.59390525985938e-145
"Sudan",0,0,0,0,0,0,1.45155948932507e-303,0,2.53443388305439e-194,8.65641710191929e-294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43998132225898e-301,3.47220500021757e-303,5.39215478637362e-240,4.44074049723041e-279,2.42244744916295e-301,0,2.20167516808013e-300,0,3.71179764650952e-238,0
"SouthSudan",0,6.35446740615764e-268,2.68104909206725e-213,2.34662315864864e-212,0,0,5.45201692418199e-220,2.53443388305439e-194,0,1.11387297115715e-123,1.80975134233631e-145,0,0,0,1.26604235186361e-110,2.0862541525197e-148,0,0,3.34236137214044e-288,0,0,0,0,0,0,0,3.97668245279155e-169,2.70888918300403e-187,6.16010164391291e-115,6.4387439308269e-180,2.15596122103919e-183,6.37189856175838e-182,1.87769144151794e-207,1.88105082739853e-307,2.09151713137651e-123,4.56710770363622e-221
"Uganda",0,1.17687102321248e-119,3.93443853060464e-105,3.27961817866036e-85,0,0,2.7179244526518e-259,8.65641710191929e-294,1.11387297115715e-123,0,1.44220671021244e-155,2.12034577428887e-300,6.23653053039104e-246,3.87367269455925e-240,3.54755479778324e-99,8.45384853824917e-71,1.86860916192919e-283,7.2976752602446e-276,7.01983847253098e-198,0,0,1.21738660615153e-299,0,7.51569986901049e-229,1.28398129821593e-297,0,9.62073774721181e-102,2.47728347893847e-178,2.31145188030604e-54,7.05333272645572e-189,1.75426965165824e-129,5.70127979380796e-94,1.80057651223113e-207,5.10171584443981e-175,4.30616237667389e-94,1.04691219679637e-182
"Bas_Uele",0,1.92065609985819e-224,2.07051470551454e-290,2.22947419380208e-178,0,0,1.41549392169692e-131,0,1.80975134233631e-145,1.44220671021244e-155,0,5.33171300581662e-188,0,3.2487938161588e-286,6.39192601987714e-94,9.67307968345183e-133,1.40505985849069e-247,6.87228979061582e-269,4.91958190674493e-201,0,0,1.00249690151982e-268,5.0253507604339e-273,1.46014329269072e-248,0,2.14870510700203e-249,3.76087968825065e-111,3.41009173620453e-78,4.48099258773142e-84,1.5081228601349e-80,3.4109552517787e-112,1.26810012403116e-135,4.04290585069031e-110,7.62618668950307e-247,3.91709888674933e-50,7.1176930949146e-111
